引渡報告日,車台番号,型式,車名,引渡先事業者／事業所名称,引渡先事業所所在地
2025/6/2,BM9-016993,DBA-BM9,スバル,アール・ループ　株式会社　柏の葉キャンパス営業所,千葉県柏市十余二字翁原３４８－４
2025/6/2,BL5-063699,TA-BL5,スバル,アール・ループ　株式会社　柏の葉キャンパス営業所,千葉県柏市十余二字翁原３４８－４
2025/6/2,RB3-1004515,DBA-RB3,ホンダ,アール・ループ　株式会社　柏の葉キャンパス営業所,千葉県柏市十余二字翁原３４８－４
2025/6/2,RG1-1077659,DBA-RG1,ホンダ,アール・ループ　株式会社　柏の葉キャンパス営業所,千葉県柏市十余二字翁原３４８－４
2025/6/2,RB1-3080626,DBA-RB1,ホンダ,アール・ループ　株式会社　柏の葉キャンパス営業所,千葉県柏市十余二字翁原３４８－４
2025/6/2,RG1-1082057,DBA-RG1,ホンダ,アール・ループ　株式会社　柏の葉キャンパス営業所,千葉県柏市十余二字翁原３４８－４
2025/6/2,RK1-1301449,DBA-RK1,ホンダ,アール・ループ　株式会社　柏の葉キャンパス営業所,千葉県柏市十余二字翁原３４８－４
2025/6/2,RK1-1019262,DBA-RK1,ホンダ,アール・ループ　株式会社　柏の葉キャンパス営業所,千葉県柏市十余二字翁原３４８－４
2025/6/2,NCEC-104715,CBA-NCEC,マツダ,アール・ループ　株式会社　柏の葉キャンパス営業所,千葉県柏市十余二字翁原３４８－４
2025/6/2,ZRE154-1004623,DBA-ZRE154N,トヨタ,アール・ループ　株式会社　柏の葉キャンパス営業所,千葉県柏市十余二字翁原３４８－４
2025/6/2,NCP141-9076320,DBA-NCP141,トヨタ,アール・ループ　株式会社　柏の葉キャンパス営業所,千葉県柏市十余二字翁原３４８－４
2025/6/2,ACR30-0279529,CBA-ACR30W,トヨタ,アール・ループ　株式会社　柏の葉キャンパス営業所,千葉県柏市十余二字翁原３４８－４
2025/6/2,MNH15-0052407,CBA-MNH15W,トヨタ,アール・ループ　株式会社　柏の葉キャンパス営業所,千葉県柏市十余二字翁原３４８－４
2025/6/2,ANE10-0027644,DBA-ANE10G,トヨタ,アール・ループ　株式会社　柏の葉キャンパス営業所,千葉県柏市十余二字翁原３４８－４
2025/6/2,AZK10-2040158,DAA-AZK10,トヨタ,アール・ループ　株式会社　柏の葉キャンパス営業所,千葉県柏市十余二字翁原３４８－４
2025/6/2,CWEFWN-105371,DBA-CWEFWN,ニッサン,アール・ループ　株式会社　柏の葉キャンパス営業所,千葉県柏市十余二字翁原３４８－４
2025/6/2,E11-339083,DBA-E11,ニッサン,アール・ループ　株式会社　柏の葉キャンパス営業所,千葉県柏市十余二字翁原３４８－４
2025/6/2,SJG-004988,DBA-SJG,スバル,アール・ループ　株式会社　柏の葉キャンパス営業所,千葉県柏市十余二字翁原３４８－４
2025/6/2,BR9-009787,DBA-BR9,スバル,アール・ループ　株式会社　柏の葉キャンパス営業所,千葉県柏市十余二字翁原３４８－４
2025/6/2,RF7-1051322,CBA-RF7,ホンダ,アール・ループ　株式会社　柏の葉キャンパス営業所,千葉県柏市十余二字翁原３４８－４
